name,author,publisher,publication_year,pages_count,ISBN,book_type,explanation,book_img
Hades,Candice Fox,Martı Yayınları,2020,320,9786050321517,Polisiye,"Katil tam önünde duruyor, peki ya arkandaki kim?Yirmi yıl önce iki çocuk kaçırılır ve ölüme terk edilir. İşinde uzman bir suçlu tarafından yetiştirilen çocuklar büyüyerek polis olurlar. Hem de oldukça sıra dışı polisler. . .Cinayet Masası Dedektifi Frank Bennett’in etkileyici bir yeni ortağı vardır. Karanlık, güzel, mesafeli ve yetenekli Eden Archer, Frank’in şimdiye kadar çalıştığı en esrarengiz meslektaşlarından biridir ve buna Sydney Metro Polisi Cinayet Masası’ında çalışan Eden’ın ağabeyi Eric de dahildir. Bölge sakinlerinden birinin, limanın derinliklerinde yatan büyük çelik sandıklardan oluşmuş bir mezarlık keşfetmesi hepsi için büyük bir sınav olur. Her sandıkta insan vücudu parçalarından oluşan tüyler ürpertici bir ceset vardır.Bu çılgın katilin bıraktığı ipuçları Frank için kışkırtıcı birer bilmecedir. Eden ve Eric içinse, bu davanın yaralı bir çocukluğa ve hatta Hades adında katil bir akıl hocasına uzanan ürkütücü bağları vardır. Ancak gerçek kötülük, eli kanlı bir seri katilin eserlerinin ötesindedir.(Tanıtım Bülteninden)Katil tam önünde duruyor, peki ya arkandaki kim?Yirmi yıl önce iki çocuk kaçırılır ve ölüme terk edilir. İşinde uzman bir suçlu tarafından yetiştirilen çocuklar büyüyerek polis olurlar. Hem de oldukça sıra dışı polisler. . .Cinayet Masası Dedektifi Frank Bennett’in etkileyici bir yeni ortağı vardır. Karanlık, güzel, mesafeli ve yetenekli Eden Archer, Frank’in şimdiye kadar çalıştığı en esrarengiz meslektaşlarından biridir ve buna Sydney Metro Polisi Cinayet Masası’ında çalışan Eden’ın ağabeyi Eric de dahildir. Bölge sakinlerinden birinin, limanın derinliklerinde yatan büyük çelik sandıklardan oluşmuş bir mezarlık keşfetmesi hepsi için büyük bir sınav olur. Her sandıkta insan vücudu parçalarından oluşan tüyler ürpertici bir ceset vardır.Bu çılgın katilin bıraktığı ipuçları Frank için kışkırtıcı birer bilmecedir. Eden ve Eric içinse, bu davanın yaralı bir çocukluğa ve hatta Hades adında katil bir akıl hocasına uzanan ürkütücü bağları vardır. Ancak gerçek kötülük, eli kanlı bir seri katilin eserlerinin ötesindedir.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001869745001-1.jpg
Can Dostu,Martin Suter,İthaki Yayınları,2005,,9789752731462,Polisiye,"Gazeteci Fabio Rossi gözünü hastanede açar; başından yaralanmıştır ve son elli gün hafızasından silinmiştir. Kendisiyle ilgilenen sarışın genç kadının, birkaç haftalık sevgilisi olduğunu öğrenir. Fabio onu daha önce hiç görmemiştir. Öte yandan, gerçek aşkı Norina'ya bir türlü ulaşamamaktadır. Fabio, dağılan yaşamının parçalarını bir araya getirmeye, kafasındaki sorulara yanıtlar bulmaya çalışır. Gazetedeki işinden neden istifa etmiştir? Daha önce üzerinde çalıştığı söylenen ""büyük mesele"" neyle ilgilidir? En iyi arkadaşı ve meslektaşı Lucas Jäger'in tüm bu olanlardaki rolü nedir? Fabio yanıtlara ulaştıkça, yitik yaşamında adım adım yönünü bulur. Bu sırada, örtbas edilmeye çalışılan bir skandalın içine çekilir. Can Dostu, yaşamı durma noktasına gelen bir insan hakkında etkileyici bir roman, iki erkeğin dostluğu üzerine kurulu psikolojik bir gerilim, tüm dünyayı ilgilendiren bir konuyu işleyen sürükleyici bir polisiye. ""Martin Suter, psikolojik gerilim ile polisiye roman arasındaki dengeyi tutturmayı çok iyi başarıyor."" - Der SpiegelSayfa Sayısı: 303Baskı Yılı: 2005Dili: TürkçeYayınevi: İthaki Yayınları                            ",https://i.idefix.com/cache/150x242-0/originals/0000000180504-1.jpg
Ninatta'nın Bileziği,Ahmet Ümit,Yapı Kredi Yayınları,2019,,9789750846335,Polisiye,"Hititler döneminden günümüze erişen bir ağıt.Yaklaşan büyük savaşın huzursuz edici gölgesinde, Hititler’in başkenti Hattuşa’da geçen bir yasak aşk öyküsü. Okura binlerce yıl öncesinden gönderilmiş hasret yüklü bir mektubu anımsatan Ninatta’nın Bileziği, insana ait zaafların ve aşkın yıkıcı gücünün binlerce yıldır hiçbir değişime uğramadığının da kanıtı.Ben bekledim ve yaşlandım.Dizimde takat kalmadı,Saçlarım kederli bulutlar gibi ağardı,Derim buruştu, gözlerimin feri söndü,Ben bekledim.Şimdi çok yorgunum.Şimdi ölüler ülkesinden esen rüzgâr üşütüyor tenimi.Şimdi zamanım kalmadı.Ama biliyorum bekleyişim bitmedi.Biliyorum, bedenimiz olmasa da ruhlarımız kavuşacak nasılsa.(Tanıtım Bülteninden)Hititler döneminden günümüze erişen bir ağıt.Yaklaşan büyük savaşın huzursuz edici gölgesinde, Hititler’in başkenti Hattuşa’da geçen bir yasak aşk öyküsü. Okura binlerce yıl öncesinden gönderilmiş hasret yüklü bir mektubu anımsatan Ninatta’nın Bileziği, insana ait zaafların ve aşkın yıkıcı gücünün binlerce yıldır hiçbir değişime uğramadığının da kanıtı.Ben bekledim ve yaşlandım.Dizimde takat kalmadı,Saçlarım kederli bulutlar gibi ağardı,Derim buruştu, gözlerimin feri söndü,Ben bekledim.Şimdi çok yorgunum.Şimdi ölüler ülkesinden esen rüzgâr üşütüyor tenimi.Şimdi zamanım kalmadı.Ama biliyorum bekleyişim bitmedi.Biliyorum, bedenimiz olmasa da ruhlarımız kavuşacak nasılsa.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001852483001-1.jpg
Gün Işığı,Eric Ambler,Yapı Kredi Yayınları,2021,256,9789750850400,Polisiye,"Topkapı Sarayı’nın beklenmedik ziyaretçileriDolandırıcı Arthur Abdel Simpson, Atina’da havaalanında karşılaştığı Harper’a her zamanki kurban profiline uyduğunu düşünerek yaklaşır. Fakat Harper’ın saf bir kurbandan çok daha fazlası olduğu ortaya çıkar. Kısa süre içinde Simpson kendini önce şüpheli bir otomobili Türkiye sınırından geçirmeye çalışırken bulacak, sonra da eline düştüğü polisin sunduğu iki seçenekle karşı karşıya kalacaktır: Ya polisle işbirliği yapıp eski meslektaşlarına ihanet etmeli ya da cezaevine düşmeyi göze almalıdır. Harper ve mücevher hırsızı çetesininse İstanbul’da bambaşka planları vardır...Çağdaş gerilim ve casusluk romanlarının öncüsü kabul edilen Eric Ambler, tekinsiz komploların içine düşen sıradan insanların maceralarını konu alan romanlarıyla tanındı. Renkli karakterlerle dolu Gün Işığı, Ambler’ın en eğlenceli romanlarından biri olmasının yanı sıra Jules Dassin’in 1964 yapımı klasik filmi Topkapı’nın da çıkış noktasıdır.“Ambler, ardından gelen taklitçilerinin üzerinde bir zirve gibi yükseliyor.”-Los Angeles Times“Ambler’ın yazdığı tek bir sıkıcı paragraf yok.” -Sunday Times“Bay Ambler olağanüstü bir yazar.” -Alfred Hitchcock(Tanıtım Bülteninden)Topkapı Sarayı’nın beklenmedik ziyaretçileriDolandırıcı Arthur Abdel Simpson, Atina’da havaalanında karşılaştığı Harper’a her zamanki kurban profiline uyduğunu düşünerek yaklaşır. Fakat Harper’ın saf bir kurbandan çok daha fazlası olduğu ortaya çıkar. Kısa süre içinde Simpson kendini önce şüpheli bir otomobili Türkiye sınırından geçirmeye çalışırken bulacak, sonra da eline düştüğü polisin sunduğu iki seçenekle karşı karşıya kalacaktır: Ya polisle işbirliği yapıp eski meslektaşlarına ihanet etmeli ya da cezaevine düşmeyi göze almalıdır. Harper ve mücevher hırsızı çetesininse İstanbul’da bambaşka planları vardır...Çağdaş gerilim ve casusluk romanlarının öncüsü kabul edilen Eric Ambler, tekinsiz komploların içine düşen sıradan insanların maceralarını konu alan romanlarıyla tanındı. Renkli karakterlerle dolu Gün Işığı, Ambler’ın en eğlenceli romanlarından biri olmasının yanı sıra Jules Dassin’in 1964 yapımı klasik filmi Topkapı’nın da çıkış noktasıdır.“Ambler, ardından gelen taklitçilerinin üzerinde bir zirve gibi yükseliyor.”-Los Angeles Times“Ambler’ın yazdığı tek bir sıkıcı paragraf yok.” -Sunday Times“Bay Ambler olağanüstü bir yazar.” -Alfred Hitchcock(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001918635001-1.jpg
Aşkımız Eski Bir Roman,Ahmet Ümit,Yapı Kredi Yayınları,2019,224,9789750845550,Polisiye,"Kendinizi bir dedektif gibi hissettiren bir kitapla tanışmak ister misiniz? Üstelik bu dedektif ile sadece olayları çözmekle kalmayıp insan psikolojisinin derinliklerini de ineceğinize eminiz. Öyleyse günümüz yazarlarından Ahmet Ümit'in Aşkımız Eski Bir Roman adlı kitabıyla tanışabilirsiniz. Üç kısa öykü sayesinde üç farklı hayatı ve bu hayatların son bulma nedenlerini etkileyici bir anlatımla aktaran yazar, sade anlatımı ile herkesin okuyabileceği bir yapıtı ortaya çıkarır. Gelin, anlaşılır anlatımı ve heyecanlı konusuyla elinizden düşüremeyeceğiniz bu kitapta sizi nelerin beklediğinden kısaca bahsedelim.""Aşkımız Eski Bir Roman"" adlı kitabı neden okumalısınız?Ahmet Ümit'in sürükleyici anlatımıyla toplamda 224 sayfadan oluşan Aşkımız Eski Bir Roman adlı kitap, gerek üslubu gerek konusuyla okurların oldukça ilgisini çekiyor. İnsan psikolojisinin izlerini taşıyan eserin ana kahramanı Başkomiser Nevzat'ın gözünden gerçekleşen anlatımla cinayetlerin sırları ortaya çıkıyor. Kitaba da adını vermiş olan ilk öykü Aşkımız Eski Bir Roman, zengin bir adamın Pera Palas Hotel'deki Agatha Christie adlı odadaki ölümünün araştırmasını anlatıyor. Ölen adamın edebiyat tutkusunun ve asil tavrının altında derin psikolojik sorunlar çıkıyor. İkinci öykü olan Overlokçu Kız, tekstil işi ile uğraşan genç bir kızın ölümünü araştırıyor. Tüm ipuçları tek kişiyi gösterirken öykünün sonu okuyucuyu bir hayli şaşırtıyor. Sergey Nikolayeviç Jerkovski'ye Ne Oldu? ise kitabın son öyküsü. Cinayetin kimin işlediği, neden işlediği ortadaymış gibi gözükse de sürekli gelişen olaylar; okuyucuda kafa karışıklığına yol açıyor. Üç sürpriz sonlu cinayet vakası, sizi derinden etkilemeye hazır biçimde bekliyor.Bunları biliyor muydunuz?Aşkımız Eski Bir Roman adlı kitabının günümüzde polisiye edebiyatının önemli bir eseri olduğunu biliyor muydunuz? Ahmet Ümit'in üç bölümden oluşan cinayet vakası, sizi aradığınız ve özlediğiniz heyecanlı bir okuma süreci yaşamanızı sağlar. İlk basımı 2019 yılında gerçekleşen roman, okurlar ve eleştirmenler tarafından büyük ilgi görür. Kitabın içerisinde Ahmet Ümit'in kaleminden üç farklı cinayet vakası, okuyucular tarafından bekler. Üstelik cinayet, polisiye, dedektif gibi kelimeleri düşününce akla ilk gelen isimlerden biri olan Agatha Christie'nin eserde olduğu gibi gerçekten de Pera Palace Hotel'de kaldığı bilinir.Bu kitabı sevenler için diğer önerilerimizÇağdaş Türk edebiyatı yazarlarından Ahmet Ümit'in dinamik ve anlaşılır anlatımını Aşkımız Eski Bir Roman adlı romanında beğendiyseniz sizi bekleyen birçok eseri daha bulunuyor. Yazarın Kayıp Tanrılar Ülkesi, Sis ve Gece, Beyoğlu'nun En Güzel Abisi ve Şeytan Ayrıntıda Gizlidir kitaplarına da göz atabilir ve okuma keyfine devam edebilirsiniz.Kendinizi bir dedektif gibi hissettiren bir kitapla tanışmak ister misiniz? Üstelik bu dedektif ile sadece olayları çözmekle kalmayıp insan psikolojisinin derinliklerini de ineceğinize eminiz. Öyleyse günümüz yazarlarından Ahmet Ümit'in Aşkımız Eski Bir Roman adlı kitabıyla tanışabilirsiniz. Üç kısa öykü sayesinde üç farklı hayatı ve bu hayatların son bulma nedenlerini etkileyici bir anlatımla aktaran yazar, sade anlatımı ile herkesin okuyabileceği bir yapıtı ortaya çıkarır. Gelin, anlaşılır anlatımı ve heyecanlı konusuyla elinizden düşüremeyeceğiniz bu kitapta sizi nelerin beklediğinden kısaca bahsedelim.""Aşkımız Eski Bir Roman"" adlı kitabı neden okumalısınız?Ahmet Ümit'in sürükleyici anlatımıyla toplamda 224 sayfadan oluşan Aşkımız Eski Bir Roman adlı kitap, gerek üslubu gerek konusuyla okurların oldukça ilgisini çekiyor. İnsan psikolojisinin izlerini taşıyan eserin ana kahramanı Başkomiser Nevzat'ın gözünden gerçekleşen anlatımla cinayetlerin sırları ortaya çıkıyor. Kitaba da adını vermiş olan ilk öykü Aşkımız Eski Bir Roman, zengin bir adamın Pera Palas Hotel'deki Agatha Christie adlı odadaki ölümünün araştırmasını anlatıyor. Ölen adamın edebiyat tutkusunun ve asil tavrının altında derin psikolojik sorunlar çıkıyor. İkinci öykü olan Overlokçu Kız, tekstil işi ile uğraşan genç bir kızın ölümünü araştırıyor. Tüm ipuçları tek kişiyi gösterirken öykünün sonu okuyucuyu bir hayli şaşırtıyor. Sergey Nikolayeviç Jerkovski'ye Ne Oldu? ise kitabın son öyküsü. Cinayetin kimin işlediği, neden işlediği ortadaymış gibi gözükse de sürekli gelişen olaylar; okuyucuda kafa karışıklığına yol açıyor. Üç sürpriz sonlu cinayet vakası, sizi derinden etkilemeye hazır biçimde bekliyor.Bunları biliyor muydunuz?Aşkımız Eski Bir Roman adlı kitabının günümüzde polisiye edebiyatının önemli bir eseri olduğunu biliyor muydunuz? Ahmet Ümit'in üç bölümden oluşan cinayet vakası, sizi aradığınız ve özlediğiniz heyecanlı bir okuma süreci yaşamanızı sağlar. İlk basımı 2019 yılında gerçekleşen roman, okurlar ve eleştirmenler tarafından büyük ilgi görür. Kitabın içerisinde Ahmet Ümit'in kaleminden üç farklı cinayet vakası, okuyucular tarafından bekler. Üstelik cinayet, polisiye, dedektif gibi kelimeleri düşününce akla ilk gelen isimlerden biri olan Agatha Christie'nin eserde olduğu gibi gerçekten de Pera Palace Hotel'de kaldığı bilinir.Bu kitabı sevenler için diğer önerilerimizÇağdaş Türk edebiyatı yazarlarından Ahmet Ümit'in dinamik ve anlaşılır anlatımını Aşkımız Eski Bir Roman adlı romanında beğendiyseniz sizi bekleyen birçok eseri daha bulunuyor. Yazarın Kayıp Tanrılar Ülkesi, Sis ve Gece, Beyoğlu'nun En Güzel Abisi ve Şeytan Ayrıntıda Gizlidir kitaplarına da göz atabilir ve okuma keyfine devam edebilirsiniz.",https://i.idefix.com/cache/150x242-0/originals/0001837961001-1.jpg
Cennete Açılan Kapı (Özel Baskı),Osman Aysu,Alfa Yayıncılık,2013,,9786051066806,Polisiye,"Her şey inanılmaz bir hızla gelişti. Kımıldamadan duran adamın sağ kolunun hızla havaya kalktığını ve gecenin karanlığında bir metal parçasının havada parıldadığını gördü. Bunun keskin uçlu bir bıçak olduğunu anlamıştı ama adamın hareketleri o kadar seriydi ki kadına kımıldayacak zaman kalmamıştı. Sonra tam göbeğinin altında keskin ve müthiş biracı hissetti, gözleri yerinden fırlayacak gibi irileşti, ağzı açık kaldı ve sustalının saplandığı yerden oluk gibi sıcak kanının fışkırdığını gördü.""Elinde bir sustalıyla günahkâr avına çıkan acımasız bir seri katil, İstanbul sokaklarında ölüm saçmaktadır. Sokaklarda 'günah işlerken' yakaladığı kişileri takip eder, evlerine gizlice girip cezalarını keser. Kendisine bu kutsal görevin Tanrı tarafından verildiğine inanan katil, dünyayı günahlardan ve günahkârlardan arındırmayı ibadet sayar. Seri cinayetler, katilin peşine düşen Komiser Cem Talaslı'yla polis muhabiri Mine Evren'i birbirine yakınlaştırır. İki sevgili, katilin ardında bıraktığı deliller arttıkça ona bir adım daha yaklaştıklarına inanırlar. Ama belki de katil aslında fazla uzaklarında değildir. Türk polisiyesinin usta kalemi Osman Aysu'dan aşk, heyecan, gerilim dolu bir cinayet romanı...Sayfa Sayısı: 354Baskı Yılı: 2013Dili: TürkçeYayınevi: Alfa Yayıncılık                            ",https://i.idefix.com/cache/150x242-0/originals/0000000433294-1.jpg
Yüksek Pencere,Raymond Chandler,Everest Yayınları,2011,,9789752898738,Polisiye,"Para, para, her zaman para... Evet, çoğu cinayetin altında yatan neden genellikle paradır. Tabii bir de kadınlar... Daha doğrusu aşk. Parayı ya da aşkı mutluluğu sağlayacak en önemli fırsat sanırız. Oysa, genellikle tersi doğrudur. Para ya da aşk aynı zamanda mutsuzluğumuzun kaynağıdır. Öldürmemizin, kıskançlığımızın, kötülük yapmamızın, içimizdeki şiddeti dışa vurmamızın kaynağı. İnsanlığın tarihi, paraya ve aşka ulaşmak için yaptığımız alçaklıkların tarihidir.Yakışıklı dedektifimiz Philip Marlowe, bu romanda tarihi bir paranın peşinde koşuyor, gerçeğe ulaşmak için. Bir hırsızlığın, bir cinayetin, yarım kalmış bir aşkın, hepsinden önemlisi insan denen o tuhaf mahlukun gerçeğine ulaşmak için...AHMET ÜMİTSayfa Sayısı: 288Baskı Yılı: 2011Dili: TürkçeYayınevi: Everest Yayınları                            ",https://i.idefix.com/cache/150x242-0/originals/0000000368288-1.jpg
Playback,Raymond Chandler,Everest Yayınları,2013,,9786051415994,Polisiye,"Gece gelen bir telefon. Takip edilecek bir kadın. Sırlar kinde, güzel ve çekici kadın. Evet, sırlar, güzel kadınları daha da çekici kılar, ama aynı zamanda tehlikeli de yapar. Çünkü savaş sonrası ABD'deki yaşam, savaş öncesinden daha farklı değildir. Hatta biraz daha vahşi, biraz daha acımasız. Çünkü yeraltındaki sermaye yerüstüne çıkmaya karar vermiştir. Herkes kendi geçmi sinden kurtulma telaşındadır. Ama bu, hiç de sanıldığı kadar kolay değildir. Çünkü etraf, size sırlarınızı hatırlatmak isteyen insanlarla doludur. Cinayetlerle, ölümlerle, utançlarla dolu sırlarınızı.Gece gelen telefon, Philip Marlov/e'u bu sırlar dünyasına çağıracaktır. Birçok erkek tarafından izlenen o gizemli kadının karmaşık dünyasına. Üstelik dedektifimiz bu kez, sadece sırları çözmeye kalkışmayacak, güzel bir kadının ruhunda uyandırdığı girdapla da uğraşmak zorunda kalacaktır. Ahmet ÜmitBüyük Uyku kitabıyla tanıştığımız dedektif Philip Marlom'un maceraları Playback ile devam ediyor. Chandler'ın, ölümünden bir yıl önce, 1958'de yazmış olduğu bu eseri, Raymond Chandler serisinin beşinci kitabı olarak Sinan Fişek çevirdi. Everest Yayınları olarak Amerikan polisiyesinin klasikleşmiş isimlerinden Raymond Chandler külliyatını, Türk polisiyesinin usta ismi Ahmet Ümit editörlüğünde sunmaktan mutluluk duyuyoruz.Sayfa Sayısı: 198Baskı Yılı: 2013Dili: TürkçeYayınevi: Everest Yayınları                            ",https://i.idefix.com/cache/150x242-0/originals/0000000432075-1.jpg
Ölüm Oyunu (Özel Baskı),Osman Aysu,Alfa Yayıncılık,2013,,9786051067414,Polisiye,"Zengin işadamı Hayri Tanman, yirmi yıl önce genç ve güzel karısı Ayça'yı öldürmek için arabasını Boğaz'ın serin sularına sürmüştü. Kendisi yaptığı plan gereği kurtulmuş, ancak Ayça'nın cansız bedeni bulunamamıştı. Aradan yıllar geçtikten sonra bir zarfla gelen tehdit mektubu herkesin bu kazada öldüğünü sandığı Ayça'nın hâlâ yaşıyor olabileceğini gösteriyordu. Hayri Bey'i korkutan bu mektubu gerçekten Ayça mı yazmıştı? Bunu araştırması için tuttuğu genç, yakışıklı ve başarılı avukat Gökhan Elmas gerçeğin üzerindeki sır perdesini kaldırabilecek miydi? Yoksa o da diğer erkekler gibi kendini Ayça'nın dayanılmaz cazibesine kaptırıp bu sırrın bir parçası haline mi gelecekti?Sayfa Sayısı: 305Baskı Yılı: 2013Dili: TürkçeYayınevi: Alfa Yayıncılık                            ",https://i.idefix.com/cache/150x242-0/originals/0000000448050-1.jpg
Sherlock Holmes-Baskervillelerin Köpeği,Sir Arthur Conan Doyle,Alfa Yayıncılık,2018,,9786051718118,Polisiye,"Dartmoor’da yaşayan Baskerville ailesine bir canavarın musallat olduğu söyleniyordu. Sör Charles Baskerville’in şaibeli ölümü Dr. Mortimer’ı, bu tür vakaları çözmekte üstüne olmayan dedektif Sherlock Holmes’a götürdü. Sör Charles’ın ölüm sebebi neydi? Varisi Sör Henry de onunla aynı kaderi paylaşacak mıydı? Bozkırdan gelen ses neye ya da kime aitti? Bu soruların cevaplarını arayan Sherlock Holmes, yardımcısı Dr. Watson’la birlikte bu esrarengiz olayın peşine düştü.Arthur Conan Doyle’un gizem dolu romanı Baskerville’lerin Köpeği meşhur dedektifSherlock Holmes’un en tanınmış maceralarından biridir. Polisiye edebiyatta çığır açmış karakterlerden biri olan Sherlock Holmes, müthiş gözlem yeteneği ve zekâsıyla okuyucuları şaşırtmaya devam ediyor.(Tanıtım Bülteninden)Edit: Sibel HacıoğluKapak: Adnan ElmasoğluDartmoor’da yaşayan Baskerville ailesine bir canavarın musallat olduğu söyleniyordu. Sör Charles Baskerville’in şaibeli ölümü Dr. Mortimer’ı, bu tür vakaları çözmekte üstüne olmayan dedektif Sherlock Holmes’a götürdü. Sör Charles’ın ölüm sebebi neydi? Varisi Sör Henry de onunla aynı kaderi paylaşacak mıydı? Bozkırdan gelen ses neye ya da kime aitti? Bu soruların cevaplarını arayan Sherlock Holmes, yardımcısı Dr. Watson’la birlikte bu esrarengiz olayın peşine düştü.Arthur Conan Doyle’un gizem dolu romanı Baskerville’lerin Köpeği meşhur dedektifSherlock Holmes’un en tanınmış maceralarından biridir. Polisiye edebiyatta çığır açmış karakterlerden biri olan Sherlock Holmes, müthiş gözlem yeteneği ve zekâsıyla okuyucuları şaşırtmaya devam ediyor.(Tanıtım Bülteninden)Edit: Sibel HacıoğluKapak: Adnan Elmasoğlu",https://i.idefix.com/cache/150x242-0/originals/0001778360001-1.jpg
Beni Kim Öldürdü?,Burcu Arman,Epsilon Yayınevi,2021,160,9786051739830,Polisiye,"Bir Storytel Original sesli kitabı olarak hayata geçen polisiye roman Beni Kim Öldürdü? dinleyicilerden sonra şimdi de okurları güldürmek için geliyor!Uyum Apartmanı’nın gözde bekârı, kedi kumu sektörünün medarı iftiharı, genç kadınların yakışıklısı. İşte karşınızdaBerke Beyaz, hikâyemizin parlayan yıldızı. Bildiğiniz tüm kitapları unutun, çünkü bu kez kahraman ölecek, hem de daha ilk sayfada! Sahi, kim gidip sıradan, kariyer tutkunu bir beyaz yakalıyı öldürmekle uğraşır ki? Eh, Uyum Apartmanı’ndakilerle tanışınca bu sorunun cevabını kendiniz bulacak, üstelik hiç şaşırmayacaksınız. Aşk, nefret, ihtiras, entrika, gıybet; otuz iki kısım tekmili birden bu apartmanda!Koşarken Belli Olmaz kitabıyla tanıdığımız Burcu Arman, okurlarının karşısına bu kez yine kendine has, sıradışı polisiye tarzıyla çıkıyor. Müthiş ve hiç beklenmeyen bir anda çözülen kurgusu, esprili dili ve her biri birbirinden uyumsuz karakterleriyle kendine yeniden hayran bırakıyor.(Tanıtım Bülteninden)Bir Storytel Original sesli kitabı olarak hayata geçen polisiye roman Beni Kim Öldürdü? dinleyicilerden sonra şimdi de okurları güldürmek için geliyor!Uyum Apartmanı’nın gözde bekârı, kedi kumu sektörünün medarı iftiharı, genç kadınların yakışıklısı. İşte karşınızdaBerke Beyaz, hikâyemizin parlayan yıldızı. Bildiğiniz tüm kitapları unutun, çünkü bu kez kahraman ölecek, hem de daha ilk sayfada! Sahi, kim gidip sıradan, kariyer tutkunu bir beyaz yakalıyı öldürmekle uğraşır ki? Eh, Uyum Apartmanı’ndakilerle tanışınca bu sorunun cevabını kendiniz bulacak, üstelik hiç şaşırmayacaksınız. Aşk, nefret, ihtiras, entrika, gıybet; otuz iki kısım tekmili birden bu apartmanda!Koşarken Belli Olmaz kitabıyla tanıdığımız Burcu Arman, okurlarının karşısına bu kez yine kendine has, sıradışı polisiye tarzıyla çıkıyor. Müthiş ve hiç beklenmeyen bir anda çözülen kurgusu, esprili dili ve her biri birbirinden uyumsuz karakterleriyle kendine yeniden hayran bırakıyor.(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0001929369001-1.jpg
Ölümü Ellerinde Tutarken,Ottessa Moshfegh,İthaki Yayınları,2022,168,9786052650066,Polisiye,"HAYAT SAĞLAMDI. İNATÇIYDI. ÖLÜM FARKLIYDI. HASSASTI, BİR GİZEMDİ. AMA NEYDİ ÖLÜM? NEDEN BİRİNİN ÖLMESİ GEREKİYORDU?Köpeğiyle birlikte günlük yürüyüşlerinden birine çıkan yetmiş iki yaşındaki Vesta, ormanda esrarengiz bir not bulur: “Adı Magda’ydı. Onu kimin öldürdüğünü asla kimse bilmeyecek. Ben öldürmedim. İşte onun cesedi.” Yaşadığı bölgeye kocasının ölümünden sonra taşınan ve pek de tanıdığı olmayan Vesta, önce bu notla ne yapacağını bilemez ve ardından da notta bahsedilen Magda’yı bir saplantı hâline getirir. Yavaş yavaş aralanan sis perdesi tehditkâr bir şekil almaya başlar. Vesta gizemin girdabına kapılırken bir yandan da yavaş yavaş kendi geçmişindeki gölgelerle yüzleşmek zorunda kalacaktır.Dinlenme ve Rahatlama Yılım ile Eileen adlı romanları dünya çapında ses getiren ödüllü yazar Ottessa Moshfegh’in üçüncü romanı Ölümü Ellerinde Tutarken, kendimize anlattığımız hikâyelerin bizi gerçeğe nasıl yaklaştırdığını ve aynı zamanda ondan nasıl uzak tuttuğunu düşünmeye davet ediyor.“Moshfegh, kahramanlarının ve okurlarının derisini yüzüyor, tıpkı bir cerrah ya da seri katil gibi, ta ki geriye sadece bir boşluk kalana kadar.” –Kevin Power“Zekice çözümlenen, parlak bir dile sahip, gerçekliğin sınırlarını çizen, edebi psikolojik gerilim sevenlere hitap eden bir kitap.” –Booklist(Tanıtım Bülteninden)HAYAT SAĞLAMDI. İNATÇIYDI. ÖLÜM FARKLIYDI. HASSASTI, BİR GİZEMDİ. AMA NEYDİ ÖLÜM? NEDEN BİRİNİN ÖLMESİ GEREKİYORDU?Köpeğiyle birlikte günlük yürüyüşlerinden birine çıkan yetmiş iki yaşındaki Vesta, ormanda esrarengiz bir not bulur: “Adı Magda’ydı. Onu kimin öldürdüğünü asla kimse bilmeyecek. Ben öldürmedim. İşte onun cesedi.” Yaşadığı bölgeye kocasının ölümünden sonra taşınan ve pek de tanıdığı olmayan Vesta, önce bu notla ne yapacağını bilemez ve ardından da notta bahsedilen Magda’yı bir saplantı hâline getirir. Yavaş yavaş aralanan sis perdesi tehditkâr bir şekil almaya başlar. Vesta gizemin girdabına kapılırken bir yandan da yavaş yavaş kendi geçmişindeki gölgelerle yüzleşmek zorunda kalacaktır.Dinlenme ve Rahatlama Yılım ile Eileen adlı romanları dünya çapında ses getiren ödüllü yazar Ottessa Moshfegh’in üçüncü romanı Ölümü Ellerinde Tutarken, kendimize anlattığımız hikâyelerin bizi gerçeğe nasıl yaklaştırdığını ve aynı zamanda ondan nasıl uzak tuttuğunu düşünmeye davet ediyor.“Moshfegh, kahramanlarının ve okurlarının derisini yüzüyor, tıpkı bir cerrah ya da seri katil gibi, ta ki geriye sadece bir boşluk kalana kadar.” –Kevin Power“Zekice çözümlenen, parlak bir dile sahip, gerçekliğin sınırlarını çizen, edebi psikolojik gerilim sevenlere hitap eden bir kitap.” –Booklist(Tanıtım Bülteninden)",https://i.idefix.com/cache/150x242-0/originals/0002011206001-1.jpg
